OBJECT_NAME,OBJECT_TYPE,STATUS,ERROR_MESSAGE,DATABASE,SCHEMA,FQN,SNOWSIGHT_URL
vevodb,Database,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
dev.dev.public,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.dev.dev.public,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.spectrum_data,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.spectrum_data,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.analytics,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.analytics,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.music_catalog,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.music_catalog,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.staging,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.staging,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.public,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.public,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.vevodb.operations,Schema,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.vevodb.operations,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.music_catalog.artists,Table,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.music_catalog.artists,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
PUBLIC.STRING_FORMAT_UDF,Function,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.PUBLIC.STRING_FORMAT_UDF,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.analytics.sp_refresh_daily_summary,Procedure,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.analytics.sp_refresh_daily_summary,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.music_catalog.videos,Table,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.music_catalog.videos,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.analytics.daily_streams,Table,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.analytics.daily_streams,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
vevodb.analytics.user_engagement,Table,Deployed,,VEVODB_UAT,PUBLIC,VEVODB_UAT.PUBLIC.vevodb.analytics.user_engagement,https://app.snowflake.com/SFPSCOGS/ENIRINGIYIMANA/#/data/databases/VEVODB_UAT/schemas/PUBLIC
