OBJECT_NAME,OBJECT_TYPE,SCHEMA,FILE_PATH,STATUS,ERROR_MESSAGE
vevodb,Database,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/database/vevodb.sql,Extracted,
vevodb.music_catalog,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/music_catalog.sql,Extracted,
vevodb.analytics,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/analytics.sql,Extracted,
vevodb.operations,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/operations.sql,Extracted,
vevodb.public,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/public.sql,Extracted,
vevodb.spectrum_data,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/spectrum_data.sql,Extracted,
vevodb.staging,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/schema/staging.sql,Extracted,
dev.public,Schema,,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/dev/schema/public.sql,Extracted,
vevodb.music_catalog.videos,Table,music_catalog,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/music_catalog/table/videos.sql,Extracted,
vevodb.music_catalog.channels,Table,music_catalog,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/music_catalog/table/channels.sql,Extracted,
vevodb.music_catalog.artists,Table,music_catalog,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/music_catalog/table/artists.sql,Extracted,
vevodb.analytics.daily_streams,Table,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/table/daily_streams.sql,Extracted,
vevodb.analytics.user_engagement,Table,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/table/user_engagement.sql,Extracted,
vevodb.operations.ad_placements,Table,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/table/ad_placements.sql,Extracted,
vevodb.operations.ad_campaigns,Table,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/table/ad_campaigns.sql,Extracted,
vevodb.operations.content_moderation,Table,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/table/content_moderation.sql,Extracted,
vevodb.operations.ad_campaigns_history,Table,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/table/ad_campaigns_history.sql,Extracted,
vevodb.operations.v_campaign_performance,View,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/view/v_campaign_performance.sql,Extracted,
vevodb.music_catalog.v_video_catalog,View,music_catalog,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/music_catalog/view/v_video_catalog.sql,Extracted,
vevodb.analytics.v_top_artists_by_streams,View,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/view/v_top_artists_by_streams.sql,Extracted,
vevodb.operations.mv_advertiser_spend,MaterializedView,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/materializedview/mv_advertiser_spend.sql,Extracted,
vevodb.analytics.mv_daily_revenue_summary,MaterializedView,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/materializedview/mv_daily_revenue_summary.sql,Extracted,
"vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",Procedure,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,Extracted,
"vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",Procedure,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Extracted,
vevodb.analytics.sp_refresh_daily_summary(DATE),Procedure,analytics,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/analytics/procedure/sp_refresh_daily_summary.sql,Extracted,
vevodb.operations.sp_close_campaign(INTEGER),Procedure,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/procedure/sp_close_campaign.sql,Extracted,
vevodb.operations.sp_generate_campaign_report(CHARACTER VARYING),Procedure,operations,/Users/elieniringiyimana/Documents/test_migration_toool/migration/artifacts/source_raw/vevodb/operations/procedure/sp_generate_campaign_report.sql,Extracted,
