FileName,Extension,Technology,Status,isBinary,Bytes,ContentType,ContentLines,CommentLines,BlankLines
/input.wsp,wsp,Other,OK,UNKNOWN,1211,Other,28,0,0
/database/vevodb.sql,sql,SQL,OK,FALSE,24,Code,1,0,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,sql,SQL,OK,FALSE,730,Code,21,0,4
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,sql,SQL,OK,FALSE,17378,Code,3,0,2
/vevodb/operations/procedure/sp_close_campaign.sql,sql,SQL,OK,FALSE,270,Code,9,0,2
/vevodb/operations/table/ad_campaigns_history.sql,sql,SQL,OK,FALSE,558,Code,14,0,1
/vevodb/operations/table/ad_campaigns.sql,sql,SQL,OK,FALSE,548,Code,14,0,1
/vevodb/operations/table/content_moderation.sql,sql,SQL,OK,FALSE,473,Code,13,0,1
/vevodb/operations/table/ad_placements.sql,sql,SQL,OK,FALSE,412,Code,13,0,1
/vevodb/operations/view/v_campaign_performance.sql,sql,SQL,OK,FALSE,642,Code,9,0,2
/vevodb/operations/materializedview/mv_advertiser_spend.sql,sql,SQL,OK,FALSE,423,Code,9,0,2
/vevodb/schema/music_catalog.sql,sql,SQL,OK,FALSE,73,Code,1,0,1
/vevodb/schema/operations.sql,sql,SQL,OK,FALSE,70,Code,1,0,1
/vevodb/schema/analytics.sql,sql,SQL,OK,FALSE,69,Code,1,0,1
/vevodb/schema/staging.sql,sql,SQL,OK,FALSE,67,Code,1,0,1
/vevodb/schema/spectrum_data.sql,sql,SQL,OK,FALSE,73,Code,1,0,1
/vevodb/schema/public.sql,sql,SQL,OK,FALSE,63,Code,1,0,1
/vevodb/music_catalog/table/videos.sql,sql,SQL,OK,FALSE,582,Code,15,0,1
/vevodb/music_catalog/table/artists.sql,sql,SQL,OK,FALSE,464,Code,13,0,1
/vevodb/music_catalog/table/channels.sql,sql,SQL,OK,FALSE,471,Code,12,0,1
/vevodb/music_catalog/view/v_video_catalog.sql,sql,SQL,OK,FALSE,388,Code,5,0,2
/vevodb/analytics/procedure/sp_refresh_daily_summary.sql,sql,SQL,OK,FALSE,191,Code,7,0,2
/vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,sql,SQL,OK,FALSE,19985,Code,3,0,2
/vevodb/analytics/table/daily_streams.sql,sql,SQL,OK,FALSE,473,Code,14,0,1
/vevodb/analytics/table/user_engagement.sql,sql,SQL,OK,FALSE,440,Code,13,0,1
/vevodb/analytics/view/v_top_artists_by_streams.sql,sql,SQL,OK,FALSE,425,Code,6,0,2
/vevodb/analytics/materializedview/mv_daily_revenue_summary.sql,sql,SQL,OK,FALSE,357,Code,9,0,2
/dev/schema/public.sql,sql,SQL,OK,FALSE,60,Code,1,0,1
