File,Technology,Keyword,Count
/database/vevodb.sql,SQL,create database,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,=,3
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,as,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,begin,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,bigint,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,character,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,count,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,create or replace procedure,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,decimal,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,declare,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,end,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,from,2
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,int,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,into,2
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,join,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,language,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,on,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,operations,4
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,raise,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,select,2
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,sum,2
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,varying,1
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,where,2
/vevodb/operations/procedure/sp_generate_campaign_report.sql,SQL,*,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,=,21
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,alter table,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,and,72
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,as,211
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,backup,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,begin,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,bigint,3
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,boolean,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,case,21
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,cast,131
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,character,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,coalesce,5
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,count,4
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,create or replace view,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,create or replace procedure,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,create temp table,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,create table,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,delete,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,drop table,3
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,else,22
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,end,23
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,execute,3
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,false,44
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,from,11
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,group by,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,if,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,in,24
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,insert,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,into,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,is not null,12
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,is null,8
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,key,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,language,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,left outer join,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,not,26
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,null,5
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,nvl,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,on,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,operations,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,or,36
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,rename,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,round,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,select,10
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,sum,10
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,then,22
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,to,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,union all,3
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,using,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,varying,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,when,21
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,where,8
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,yes,1
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,||,132
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,*,10
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,+,11
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,-,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,/,2
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,<>,8
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,<=,12
/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,SQL,>,13
/vevodb/operations/procedure/sp_close_campaign.sql,SQL,=,4
