SessionID,FileName,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self),Source Language,MigrationID
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Query,VALUES,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/analytics/view/v_top_artists_by_streams.sql,Query,DISTINCT,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/schema/operations.sql,DDL,CREATE SCHEMA,SQL,7,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/database/vevodb.sql,DDL,CREATE DATABASE,SQL,1,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/view/v_campaign_performance.sql,DDL Content,AS query_expr,SQL,9,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_close_campaign.sql,Statement - Control of Flow,BEGIN...END,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,DDL,CREATE TABLE,SQL,9,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/sp_generate_campaign_report.sql,Query,INTO,SQL,2,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/table/ad_campaigns_history.sql,Data Type,BOOLEAN,SQL,5,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
53b2786d-0a21-49d8-9dc6-c4748d4df71c,/Users/elieniringiyimana/Documents/test_migration_toool/migration/source/vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,Functions & Expressions,CAST,SQL,8,0,RedShift,DvefAe5IK3+lJQ1/aClvvQ==
