PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,N/A,"""mv_tbl__mv_daily_revenue_summary__0__insert_tmp""","""mv_tbl__mv_daily_revenue_summary__0__insert_tmp""",3,DROP
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,N/A,"""mv_tbl__mv_daily_revenue_summary__0_tmp""","""mv_tbl__mv_daily_revenue_summary__0_tmp""",3,DROP
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,N/A,"""mv_tbl__mv_daily_revenue_summary__0__insert_tmp""","""mv_tbl__mv_daily_revenue_summary__0__insert_tmp""",3,SELECT - FROM
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0""",3,INSERT
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0""",3,DELETE
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0""",3,SELECT - FROM
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0_recomputed""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0_recomputed""",3,ALTER
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0""",3,DROP
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/analytics/procedure/mv_sp__mv_daily_revenue_summary__4_2_cascade.sql,CREATE PROCEDURE,vevodb,analytics,"mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.analytics.mv_sp__mv_daily_revenue_summary__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,"""analytics""","""mv_tbl__mv_daily_revenue_summary__0_recomputed""","""analytics"".""mv_tbl__mv_daily_revenue_summary__0_recomputed""",3,SELECT - FROM
53b2786d-0a21-49d8-9dc6-c4748d4df71c,vevodb/operations/procedure/mv_sp__mv_advertiser_spend__4_2_cascade.sql,CREATE PROCEDURE,vevodb,operations,"mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)","vevodb.operations.mv_sp__mv_advertiser_spend__4_2_cascade(BIGINT,BIGINT,BOOLEAN,CHARACTER VARYING,BIGINT,CHARACTER VARYING)",MISSING,N/A,N/A,"""mv_tbl__mv_advertiser_spend__0__insert_tmp""","""mv_tbl__mv_advertiser_spend__0__insert_tmp""",3,DROP
